cnpj_raiz,email_corporativo,cargo_dono_agg,estado,capital
03.325.436,1,gerente,PB,1
03.325.759,1,diretor,PR,0
03.334.170,1,diretor,SP,1
03.337.398,0,proprietario,RS,0
03.337.564,0,socio,Outros,1
03.341.775,1,gerente,RS,0
03.344.935,1,gerente,RS,0
03.350.624,1,proprietario,RS,0
03.357.962,1,diretor,PR,0
03.362.521,1,diretor,SC,0
03.368.702,0,proprietario,Outros,1
03.379.983,1,gerente,RS,0
03.384.528,0,socio,RS,0
03.423.466,1,gerente,ES,0
03.431.716,0,diretor,Outros,1
03.439.223,0,diretor,Outros,1
03.453.285,1,diretor,PR,0
03.456.707,1,socio,Outros,0
03.458.608,1,socio,MG,0
03.458.812,1,proprietario,RS,0
03.476.643,1,outros,PR,0
03.479.246,1,gerente,BA,0
03.483.889,1,proprietario,SP,0
03.488.146,1,gerente,SP,0
03.492.493,0,diretor,Outros,0
03.504.399,0,diretor,PR,0
03.514.701,1,socio,MG,0
03.521.203,1,diretor,PR,0
03.538.414,1,proprietario,SP,1
03.544.039,1,gerente,RS,0
03.548.401,1,diretor,Outros,0
03.564.571,1,gerente,RS,0
03.570.345,1,socio,RJ,0
03.593.637,0,proprietario,SP,0
03.629.957,1,outros,SP,0
03.631.175,1,gerente,ES,0
03.643.856,1,gerente,MG,1
03.644.204,1,diretor,ES,0
03.646.081,1,gerente,Outros,0
03.647.755,1,gerente,MG,0
03.658.692,1,gerente,Outros,1
03.664.720,1,socio,SC,0
03.677.243,0,gerente,MG,0
03.702.159,1,diretor,BA,0
03.711.070,1,diretor,SP,0
03.724.034,1,proprietario,SP,1
03.727.410,1,gerente,Outros,0
03.747.565,1,proprietario,Outros,0
03.757.669,1,diretor,MG,1
03.759.837,1,gerente,Outros,1
03.764.657,1,gerente,SP,0
03.769.330,1,socio,RS,0
03.785.640,1,diretor,BA,1
03.803.992,1,gerente,SP,1
03.823.190,1,socio,MG,0
03.827.514,0,proprietario,SP,0
03.831.403,1,gerente,SP,1
03.831.912,0,gerente,GO,1
03.838.222,1,socio,SP,0
03.845.628,0,diretor,MG,1
03.890.747,0,gerente,MG,1
03.906.072,0,diretor,Outros,1
03.909.051,1,outros,SP,1
03.919.614,1,gerente,MG,0
03.920.563,1,proprietario,Outros,1
03.930.702,1,diretor,RJ,0
03.933.842,1,gerente,PR,0
03.938.789,1,gerente,Outros,1
03.942.304,0,proprietario,SP,1
03.954.830,1,gerente,Outros,1
03.961.011,1,socio,PB,1
03.963.019,1,diretor,Outros,1
03.965.584,1,gerente,Outros,0
03.967.295,1,socio,SC,1
03.967.957,1,diretor,Outros,0
03.968.890,1,socio,SC,0
03.986.837,1,outros,SC,0
03.992.026,1,proprietario,Outros,0
04.002.624,1,outros,RS,0
04.008.822,1,gerente,RS,0
04.033.252,0,diretor,MG,0
04.035.148,1,proprietario,SC,0
04.038.581,1,socio,MG,0
04.060.950,0,diretor,Outros,0
04.071.002,1,gerente,SC,0
04.086.814,1,gerente,SP,0
04.098.359,1,diretor,MG,1
04.111.887,0,gerente,PB,1
04.139.584,1,socio,Outros,1
04.161.787,1,socio,SP,0
04.190.998,1,socio,Outros,0
04.209.501,1,outros,MG,0
04.211.092,0,gerente,RJ,1
04.230.195,0,diretor,Outros,1
04.233.396,0,gerente,MG,0
04.234.476,1,gerente,SC,0
04.236.920,1,diretor,Outros,1
04.236.977,1,diretor,Outros,1
04.238.998,0,diretor,PR,0
04.244.203,0,socio,SC,0
04.253.854,1,socio,RS,0
04.283.508,1,gerente,GO,1
04.284.184,0,gerente,SP,0
04.295.026,1,proprietario,MG,1
04.296.878,1,socio,RJ,0
04.302.216,1,outros,RJ,1
04.307.343,1,diretor,SP,1
04.326.648,1,gerente,Outros,1
04.335.788,1,diretor,PR,0
04.335.814,1,socio,RJ,0
04.357.004,1,outros,MG,1
04.360.895,1,diretor,Outros,0
04.377.477,1,socio,BA,0
04.382.020,1,gerente,RS,0
04.392.250,1,diretor,PR,1
04.395.275,0,diretor,PR,0
04.401.533,1,diretor,RJ,1
04.402.437,1,proprietario,ES,0
04.409.735,0,gerente,SP,0
04.415.268,1,diretor,ES,0
04.441.080,1,diretor,GO,0
04.475.592,0,diretor,SC,0
04.489.185,0,socio,MG,0
04.502.802,1,proprietario,RS,0
04.523.860,1,diretor,Outros,1
04.525.822,1,gerente,Outros,0
04.547.903,1,socio,MG,0
04.548.589,1,diretor,SP,0
04.560.557,1,gerente,SP,0
04.563.672,1,diretor,Outros,1
04.565.289,1,diretor,Outros,1
04.577.959,1,outros,RJ,1
04.582.164,0,gerente,Outros,1
04.596.181,1,diretor,Outros,0
04.602.431,1,gerente,SC,0
04.604.382,1,gerente,BA,1
04.620.892,1,diretor,ES,0
04.639.922,0,diretor,Outros,1
04.640.222,1,diretor,Outros,0
04.642.910,0,diretor,Outros,1
04.645.585,1,socio,SP,0
04.645.673,0,diretor,SP,0
04.647.090,1,gerente,SC,0
04.653.708,1,diretor,RJ,0
04.681.238,1,diretor,MG,0
04.695.085,0,diretor,MG,0
04.697.636,1,diretor,BA,0
04.719.485,1,diretor,Outros,0
04.724.476,1,diretor,Outros,1
04.728.623,1,diretor,Outros,0
04.732.762,1,diretor,PR,1
04.748.601,1,gerente,SP,1
04.760.257,1,socio,MG,0
04.766.840,1,socio,SP,0
04.774.910,1,proprietario,SC,0
04.776.058,0,socio,GO,1
04.784.802,1,outros,Outros,1
04.784.896,1,gerente,MG,0
04.787.941,1,diretor,Outros,1
04.800.789,1,diretor,MG,0
04.809.400,0,diretor,MG,0
04.817.833,1,outros,RJ,0
04.818.357,0,diretor,Outros,0
04.822.307,0,diretor,Outros,0
04.827.730,1,gerente,Outros,0
04.836.932,1,outros,SP,0
04.839.268,1,outros,SP,1
04.868.412,1,diretor,PR,0
04.869.051,0,proprietario,SP,0
04.876.042,0,gerente,MG,0
04.882.507,1,gerente,RS,0
04.887.648,0,socio,PR,0
04.901.407,1,socio,SP,1
04.901.585,1,gerente,RS,0
04.902.630,1,socio,RS,1
04.925.388,1,gerente,PR,0
04.928.674,1,gerente,SP,1
04.940.750,1,gerente,Outros,1
04.955.487,1,outros,Outros,0
04.961.452,0,outros,PB,1
04.965.200,0,diretor,ES,0
04.967.836,0,diretor,ES,0
04.974.172,0,diretor,Outros,1
04.974.441,1,proprietario,SP,0
05.000.927,1,gerente,RS,0
05.005.355,0,diretor,PR,0
05.010.299,1,proprietario,SP,0
05.020.208,1,diretor,SC,0
05.029.022,0,diretor,Outros,1
05.031.652,1,diretor,SC,0
05.034.218,1,gerente,SP,0
05.046.366,1,diretor,Outros,0
05.051.227,0,socio,RS,1
05.054.671,1,outros,Outros,1
05.055.584,1,proprietario,SP,1
05.056.530,1,diretor,GO,0
05.058.229,1,gerente,SP,0
05.064.800,0,proprietario,Outros,1
05.085.513,1,gerente,PR,0
05.089.654,1,gerente,PR,0
05.094.194,1,proprietario,GO,0
05.096.998,1,gerente,Outros,0
05.098.879,1,socio,BA,0
05.102.172,1,outros,SP,1
05.107.955,1,gerente,PR,0
05.127.341,1,socio,SC,0
05.135.053,1,gerente,PR,1
05.149.773,1,gerente,SP,1
05.161.788,1,socio,ES,0
05.194.398,1,diretor,Outros,0
05.199.105,1,diretor,SC,0
05.202.733,1,diretor,ES,0
05.220.925,0,gerente,PR,0
05.222.092,1,socio,GO,1
05.256.940,0,gerente,PR,0
05.259.736,1,proprietario,SP,0
05.268.105,1,diretor,MG,0
05.269.833,0,proprietario,ES,0
05.285.282,1,outros,PB,1
05.290.522,1,diretor,RJ,1
05.296.224,1,diretor,Outros,0
05.324.485,1,proprietario,MG,0
05.347.659,1,diretor,RJ,0
05.359.132,1,diretor,GO,0
05.361.954,0,gerente,PB,1
05.362.630,0,diretor,MG,0
05.382.203,0,outros,MG,0
05.391.089,0,proprietario,Outros,1
05.423.509,1,proprietario,RS,0
05.424.561,0,gerente,Outros,1
05.440.711,1,socio,MG,0
05.457.125,1,outros,SP,0
05.464.895,1,diretor,Outros,1
05.486.710,1,proprietario,MG,0
05.489.300,1,gerente,SP,1
05.492.166,1,diretor,Outros,0
05.494.378,1,gerente,SP,0
05.498.682,1,diretor,GO,0
05.502.804,1,proprietario,SP,0
05.503.617,0,diretor,Outros,0
05.510.660,1,diretor,Outros,1
05.524.572,1,diretor,RJ,1
05.538.620,1,diretor,Outros,1
05.542.037,0,socio,RJ,0
05.546.489,0,proprietario,SP,0
05.551.625,1,diretor,SC,0
05.555.431,1,diretor,SP,0
05.567.711,1,outros,SP,1
05.584.300,1,diretor,SC,0
05.592.179,0,diretor,SP,0
05.596.829,1,diretor,MG,1
05.601.232,0,proprietario,Outros,1
05.626.249,1,gerente,Outros,1
05.646.333,1,socio,Outros,1
05.647.897,1,diretor,Outros,0
05.656.738,1,gerente,MG,0
05.658.073,0,gerente,RS,0
05.679.882,1,diretor,MG,0
05.681.278,1,socio,MG,0
05.691.238,0,diretor,PR,0
05.697.322,1,gerente,PR,0
05.698.101,1,socio,BA,0
05.703.737,1,diretor,Outros,0
05.746.628,1,diretor,PR,0
05.750.447,0,diretor,Outros,1
05.755.563,1,gerente,PR,0
05.757.112,1,diretor,Outros,0
05.758.887,0,diretor,SC,0
05.767.080,1,diretor,PR,0
05.771.415,0,diretor,Outros,0
05.782.891,1,diretor,Outros,0
05.798.383,1,outros,SP,0
05.821.946,1,diretor,PR,0
05.845.702,0,diretor,MG,0
05.851.317,1,socio,MG,0
05.868.733,0,diretor,GO,0
05.877.639,1,diretor,Outros,1
05.879.389,1,diretor,RS,0
05.882.678,1,gerente,PB,1
05.897.963,1,diretor,Outros,0
05.915.821,1,diretor,Outros,1
05.923.435,1,socio,RJ,1
05.931.176,1,diretor,SP,0
05.931.640,1,socio,RJ,1
